"","show_title","reviewer_name","review_date","rating","review_title","helpful_votes","review_text"
"47",NA,"cadillac20","Dec 6, 2009",9,"Just might be the perfect mainstream series",NA,"Fullmetal Alchemist is, in a way, unique. It is very much a mainstream series, with the appeal of a huge cast of unique characters, action that commonly involves special powers, a fairly straight forward story with some mostly obvious symbolism, and a mix of comedy, action, drama, and even some romance. These are all common staples of long running anime series that lean towards a more commercial and public appeal. And yet, for a mainstream series, it manages to continually surprise with a very mature and serious tone. There is a great deal of tragedy and some moments are even frightening and memorable. Few series achieve such a perfect balance of mainstream entertainment and gut wrenching drama and tragedy.Such was what I discovered when I first laid my eyes on the original FMA series. And yet, for all it's greatness, it began to flounder in it's second season. As many series do, it took on its own form and story, and it was at that point that it started to lose its charm. So, Bones did the smart thing. They remade it. For most series, this would be pointless, but for FMA, it's very much welcome. Five years after the original series ended and the manga has had time to grow, this new FMA is better looking, paced better, and follows the manga, expanding the plot in a better direction.It's hard not to like anything about this new FMA. The action is fantastic and looks great, as it always did. We aren't subjected to single shots or poorly edited sequences. All the action is displayed and wonderfully animated. Likewise, all the charm is here as well, from the more serious scenes that fans will remember to the humor which is consistent and still funny. Bones took everything good about the original series and threw out all the bad, replacing those particulars with higher quality details. In a sense, it even feels like a new anime, and by episode 13, it has gone in a completely new direction.A better developed story and characters, superior animation, and fantastic details. These are what make the new FMA an instant new-age classic. Like FMA was the first time around, the new FMA will be one of the top anime to watch out for in the states."
"48",NA,"fernandemig","Oct 16, 2022",10,"I can't believe that took me so long to watch this",NA,"""Shounen"" is usually described as being an uninspired genre made for kids, with sub-par watered-down thematic execution and repetitive plot elements.Fullmetal Alchemist Brotherhood kills all these notions, it was the grandness a shounen has,but also has the thematic and philosophical crux, which the traditional ""edgy series"" have. The characters grow and develop, the cast is amazing and also is one of the rare Shounens anime that have indeed good female characters, story started simple but grows in a amazing and addictive way. Is smart without being overly dumb, it's a TRUE package that anyone cam enjoy."
"49",NA,"ICtolic18","Aug 17, 2022",10,"Truly one of the best Anime series that I've ever watched",NA,"I've seen this show recommended by many sources. Finally I decided to watch it.At first I was kinda disappointed. The first few episodes didn't make a huge impression on me. But as the story progressed and I got to know more and more fantastically written characters, the backstory started to unfold and alchemy expanded, it just got better and better.At a point I suddenly found myself addicted to the show. When one episode finished, I immediately started playing the next. The story deals with morally heavy themes. There is some seriously dark stuff in there. But there is also light. Once you experience terrible things in this show, it is truly cathartic to see some hearthwarmingly good things unfold as well.This show will make you feel very deep feelings. I have to admit to be crying at some points. It is a true roller-coaster.You will get so attached to the characters that after the series is over you will seriously miss them. That is a quality of a great show.The scope of the story is bigger than anything I have ever seen before (no joking, the stakes are bigger than in any other fantasy / sci-fi). You will find yourself truly rooting for the good guys, worrying about them, and cheering when they seem to succeed in combat against a foe.If you want to be amazed, addicted, emotionally lifted, press the start button on this show."
"50",NA,"ahsanejaz756","Oct 19, 2022",10,"It's better than the OG one? yes but some flaws too still 8/10",NA,"It's waring on my patience, the more character's that get introduced, the pointless conversations, -completely- pointless sub-plots. It feels like a lot of this show is either localized in an incredibly contrived way, or there's quite a lot of filler.Still, I really enjoyed the first 2 seasons (or Parts as Netflix is calling them) and due to the love this series has gotten I'll keep trying to watch. Not a -true- anime fan - I like Bebop, NG:E, Akira, took the chance on this and loved the charm and bounciness of the the plot of this show. I'll edit this if my opinon changes in some major way."
"51",NA,"bandoolero","Oct 7, 2013",10,"I feel like my spirit is elevated after having just finished the last episode.",NA,"I have seen the entirety of the Full Metal Alchemist series that was produced in 2004. The series has a sizable cast which are unique and interesting in their own way. They all have specific characteristics which make them stand out from each other and sometimes oppose each other with their philosophies. This series does things that may others attempt to do. They manage to develop the characters and their story lines in a very beautiful manner. This series has one of the best plots that I have ever witnessed with just the right amount of action, humour and tragedy all excellently blended together to create a plot that keeps you wanting more from start to finish."
"52",NA,"therskybznuiss","Apr 28, 2021",7,"Losing my interest about halfway through, but -did- enjoy it.",NA,"Full Metal Alchemist: Brotherhood, I think is the best anime ever made.First of all the the voice cast were chosen to perfection every voice portrays the character as who the were meant to be.Secondly The Storyline was so well written compared to the first series. story flows wonderfully as we witness the journey the characters take and the many twists and turns that occur.Characterization was also excellent. once again I will mention the voices but also the way characters interact with the complex guidelines of the world they inhabit.And lastly the animation is very fluid no cheap faraway shots where the characters are talking but not moving which is used commonly(see Neon Genesis Evangalion).I will finish by saying that if you are going to watch one anime in the entirety of your life time Choose Full Metal Alchemist Brotherhood."
"53",NA,"TripHawkin","Oct 12, 2022",10,"Fantastic.",NA,"Ill explain why this is the best series ever made and why i feel worthy of judging that.*Note that English isn't my native tongue* I've been addicted to series for like... forever. I could probably list at least 50 full series I've seen from all kinds.If i told myself 10 years ago or so that the best series i would ever see was an Anime i wouldn't have believed it.This series made me laugh out loud, cry and bring up pretty much every part of human emotion possible. The characters and story are pretty much flawless and there is little to none loose ends. There isn't a ""stormy"" story curve as many series suffer from - where the intro - mid part or ending is to short , to long or rushed. The pace through the entire anime is good.The series does not suffer either from things like to slow riddles-to-answers rate (Lost *cough*) or to fast story.All characters are developed in a brilliant way through the series.Of all movies and shows I've seen in my lifetime - if i would have to recommend one single series to someone it would be this one without hesitation.If i had an enemy i hated in real life more than anything - even i wouldn't be so cruel as to deny that person to see this show. I could deny them food instead and it would be merciful. Thats how good this show is.One thing that was a major concern early on was that this show would be to childish and silly. Don't be deceived, it is very mature and some elements are even horrifying.This is one of the only shows I've ever seen, where i haven't been able to personally come up with better ideas on how to make it.Perfection.See it.I also recommend original Japanese voices with English text for best experience."
"54",NA,"ppochlon03","Jul 19, 2011",10,"The Best Anime Ever",NA,"Having been an avid fan of the first Fullmetal Alchemist series, i was highly apprehensive on hearing about this reboot, but the more i found out about the series, the more excited i became. I've always been a fan of the Manga, and the new series is being based completely of the manga storyline. This had be hooked, so i waited nervously for the first episode.The new series features better artwork that resembles Arakawa's style more closely than the last series. There is more humour, especially Ed transmuting a spear-head into his face. There is a new soundtrack, which admittedly, at times doesn't work greatly, but with some getting used too, i'm sure it will grow on me. Overall, i feel this series is a fantastic reboot, and is verging on turning Fullmetal Alchemist into the series it should always have been."
"55",NA,"Kentvaroy","Sep 16, 2010",8,"Pretty much the best show made in the history of mankind",NA,"I have seen both versions of Fullmetal Alchemist (Brotherhood) and both are good. In the first version (Fullmetal Alchemist), the first half of the series is really good. The fight between Edward Elric & Roy Mustang and the State Alchemist test taken by Edward Elric are notable ones. In second half, the story takes lots of twists and turns and I find it's not as impressive as the first half.The second version (Fullmetal Alchemist Brotherhood) is sticking to manga and has the soul of the original story. It is an all-rounded anime with tightly knit fantastic story, humorous, action packed, dark at times and entertaining. In first half, character introduction, funny moments, action sequence, ends with almost no hope situation for our heroes. In second half, the story takes it's fast pace with more action and nail biting moments.The decisions/resolutions taken by the Elric brothers at each step of their journey are clearly justified. All characters had their importance in the series, even the cute little panda and Yogi had their importance in moving the story forward. Usually when a character is introduced in the middle of a series, it stay far too superior/inferior to rest of the characters. But I like the way Olivier Mira Armstrong and Lin Yao gang introduced in the series.Sometimes when I think of watching something, I start with any one particular scene in this series and ended up watching till the very end of the series. I don't remember how many times I watched it.I have seen many anime in all genre (comedy, drama, action, adventure, thriller, slice of life, bloody ones, etc.) and in my opinion, Fullmetal Alchemist Brotherhood is the best in overall. So I give 10 out of 10.When people asks me to suggest something to watch, I recommend this series without blinking. Either they say Animation is for kids or series are lengthy to watch without knowing how Japanese anime differs from Western animation. I would say one thing, watch at least couple of episodes and then you will understand why I recommend this series.Suggestion: The first episode is more of an quick introduction of main casts. The actual story starts in episode 2. So it is OK to skip episode 1. Japanese audio is better than English audio.Other suggested Animes: Cowboy Bebop, Death Note, Code Geass, Steins Gate, Hunter X Hunter, Attack on Titans, Samurai Champloo, Great Teacher Onizuka, Parasyte, One Punch Man (season 1), Boku no Hero Academia, Ghost in the shell (both movies & series, have complex plot), Shigurui (only adults, watch only if you are OK with violence & sex)"
"56",NA,"garethwatkin","Apr 13, 2009",9,"A Fantastic Reboot",NA,"First let me say that the music/OSTs in this anime are just magnificent, there is not even one single bad opening! Every opening them is just so perfect that you can't stop listening to it! The background music is so goated! My favorite op is the 5th op ""Rain"" by SID and it's actually my all time favorite anime op, the greatest opening ever. But other than that the ""Fullmetal Alchemist: Brotherhood"" story about two brothers and their journey to try to get their bodies back is a perfect storytelling, with a great writing to every character and a really good characters design and a nice world building plus a fine animation. Something that I really like about this anime is that how they show you all this things about the military and how you can't trust people no matter who they are and all this thing with the dogs of the military etc... I also like the philosophy in this anime but I don't want to say too much here, so if you really wanna know what I'm talking about search on YouTube ""The Philosophy of Fullmetal Alchemist: Brotherhood"" there is a video there by ""Wisecrack"", I recommend you to watch it if you've already finished the anime."
"57",NA,"spookycostume","Aug 19, 2011",10,"Equivalent Exchange - Give time to  watch = Pleasure out of it",NA,"I've always been a fan of anime that blend intricate storytelling with well-developed characters, and ""Fullmetal Alchemist: Brotherhood"" didn't disappoint. This series, adapted from the manga by Hiromu Arakawa, is often hailed as a masterpiece, and while I found it compelling, I had my reservations.The story revolves around two brothers, Edward and Alphonse Elric, who use alchemy to try and bring their mother back from the dead but pay a terrible price. Edward loses his arm and leg while Alphonse's entire body is taken, leaving his soul bound to a suit of armor. The brothers embark on a journey to find the Philosopher's Stone, a legendary artifact that can restore their bodies.The narrative is the strongest aspect of ""Fullmetal Alchemist: Brotherhood."" The plot is intricate, filled with political intrigue, moral dilemmas, and complex character relationships. It doesn't shy away from exploring the consequences of seeking power and the toll it takes on individuals and society. The themes of sacrifice, redemption, and the value of human life are woven into the story's fabric.The character development is impressive, especially for the Elric brothers. Edward's determination and resilience are inspiring, and his unwavering commitment to protecting his loved ones makes him a compelling protagonist. Alphonse's struggle with identity and the meaning of existence adds depth to his character. The supporting cast is diverse, each with their own motivations and arcs, though some side characters could have been more fleshed out.The animation quality by Studio Bones is consistent throughout the series, with fluid action sequences and detailed character designs. The alchemical battles are a visual spectacle, showcasing the versatility of alchemy in combat.However, ""Fullmetal Alchemist: Brotherhood"" has its flaws. The pacing, particularly in the earlier episodes, can be slow, and the series assumes viewers have seen the 2003 adaptation or read the manga, resulting in some rushed character introductions and world-building. The humor, while occasionally amusing, can feel out of place in the midst of the story's darker themes.The climax and resolution of the series, while emotionally satisfying, left me wanting more closure for certain characters and plotlines. Some questions remained unanswered, which was a bit frustrating.In conclusion, ""Fullmetal Alchemist: Brotherhood"" is a memorable and thought-provoking anime that explores complex themes and boasts well-rounded characters. While it has its share of pacing issues and unanswered questions, its strengths far outweigh its weaknesses. I rate it 7/10 because it offers a captivating journey through a richly crafted world of alchemy, ethics, and the enduring bonds of brotherhood."
"58",NA,"withlovshankar","Nov 7, 2011",10,"Best of all Anime and better than the earlier version",NA,"I can't believe this show has such a high reviews. This is the definition of overhype and hyped up just because others like it and I can't believe people compare this with shows such as Avatar the Last Airbender or Attack on Titan. At the beginning I was excited for the journey and the world building. The concept of alchemy and the story of the brothers seemed promising. As the show progressed I honestly just couldn't care less for any character. It feels like the protagonists just like to fight just because. The story could have been told in a lot less episodes. The music was mediocre in my opinion first opening was fairly good but nothing memorable. Humor was funny but really overused!!I'll try watching the 2003 version. Overall I do not recommend this show. Watch ATLA, AOT, Death Note, Hunter x Hunter or Code Geass instead.Peace:)"
"59",NA,"tmilom99","Sep 14, 2010",10,"Such a Great Amime, it is a must watch series",NA,"**English is not my first language**After more than a decade, this story is still one of my loved one sagas of all times. The world building, the drama, the - so human - themes and the characters (all characters!) are the strength core of it. Plus, we have a very good animation, a impressive tied plot and pace, gorgeous music and the ten last episodes that takes your breath away.It has a world with its own laws and unique landscape and lore, that could be expanded on and on.Fullmetal is one of my loved one stories of all time, side by side with the worlds of Middle Earth, Westeros, Hogwarts and the whole Star Wars drama."
"60",NA,"Leysritt","Sep 22, 2022",10,"A Well Made Story.",NA,NA
"61",NA,"babydobabylo","Aug 1, 2022",10,"The best reboot",NA,"Fullmetal Alchemist was originally made in 2003 and after 6 years he received one remake following the original Manga.While the first couple of episodes are done better in the original after the 12 episode the anime just blow up in one of the best writing adventure and history I ever seen. Every character receive a time to shine and the animation is fantastic even after 10 years.You probably gonna love this."
"62",NA,"Carnivorous","Jul 13, 2012",10,"No complaints, seriously. FANTASTIC.",NA,"Let's make one thing clear before I start this review, I have no experience with the previous incarnation of Fullmetal Alchemist. This series was my first foray into the world of FMA, & I must say, it is VERY excellent.First off, the series has a huge cast of interesting & unique characters. They are each quite different from each other, and act in different ways. The way the series elegantly manages all the character's developments and story lines is a feat in itself. The series also has a fantastically crafted plot, filled with action, humor, & tragedy. Despite its mainstream appeal, it still maintains a mature tone that really grabs you.The animation & art is top notch. You won't be getting any poorly edited sequences or grotesque looking art. The production values are great. I watched the series with the English voice track, and the dub did quite a good job. No complaints there. The soundtrack is excellent as well, particularly the opening & closing sequences that accompany each episode.It goes on for some 64 episodes, & maintains your attention the entire time. It even manages to close everything up in a satisfying manner. A fantastic series. This show will make you laugh, cry, and even get angry a few times.Loved it."
"63",NA,"bestaloouc","Aug 8, 2022",10,"So well executed",NA,"Fullmetal Alchemist Brotherhood is amazing, I love every minute, the characters are great all of them receive a nice development, the voice acting is amazing too both dub and sub are great, animation and the choreography are awesome.This is perfect series for anime and mainstream fans, just watch."
"64",NA,"Uncle_father_oscar","Jun 22, 2012",9,"Surpasses the original in almost every way",NA,"This review is mainly meant for anyone who watched Fullmetal Alchemist and is either considering Brotherhood, has watched a few episodes and not liked it, or has read one of the negative reviews and was put off.When I first heard about Fullmetal Alchemist: Brotherhood, I was skeptical. Seeing as the original Fullmetal Alchemist is the first anime I have ever completely watched and is the spark that ignited my obsessive love of anime that I have today, a redo seemed unnecessary to say the least. What could possibly be improved upon a show as fantastic as Fullmetal Alchemist? With hesitation and doubt in my heart I started watching the series... and instantly hated it. I won't lie, my first impressions were not only that the show didn't live up to the original, but that it was also an abomination that was dancing on the grave of a greater show. I cried, I screamed, I broke things, I didn't do any of the above because I'm exaggerating and not actually crazy, but I was still quite upset. The criticisms bubbled up inside me until I was frustratingly glaring at the TV appalled at such changes as Alphonse's voice actor, or a lack of the opening starting with the classic ""in those days, we really believed..."" lines from Al. With each passing episode the insults to Fullmetal Alchemist seemed to grow, episodes that were lovingly crafted in the original series were apparently being lightly brushed on. Moments in the original that got me hooked fell flat in Brotherhood, and I was fed up and ready to write the letter of complaint to end all letters of complaint. But then, my eyes began to open. Right around episode 13 where the plot of the two animes separates I started to think that this story might actually be good. As the episodes began to fly I realized that it wasn't good, it was great. After finishing the series I knew without a doubt in my mind that what I had witnessed was my favorite anime of all time. The story of Brotherhood is better than that of the original on so many levels that the two shows truly don't compare. After having my eyes opened I was forced to drop the rating that I gave to the original to an 8 simply because now I knew how much lost potential it had. If you enjoyed the story of Fullmetal Alchemist, stick with Brotherhood and I guarantee you that you will not regret it. Not only is the plot and storyline vastly improved upon and more satisfying, the animation, music (in my opinion at least, some disagree), characters, and overall feel is far better. Therefore, if you are a true fan of the original series don't give up on Brotherhood after only a few episodes like I was so tempted to do, it is a show that grows into something that will go down in history as one of the greats of animation history and you shouldn't miss out."
"65",NA,"cajucaipira","Oct 17, 2022",10,"A review from an NOT anime fan.",NA,"I'm not gonna lie, I don't like animes, seriously since I was a child I never feel any type of interesting from Naruto or Dragon Ball, but this one, oh boy he really put the bar on a really high standard.Fullmetal Alchemist Brotherhood is an anime that you can enjoy even without like animes(he really resembles the Avatar for me) the story is so well written I'm impressed with the alchemy a how close is from the actual alchemy, the animation is great, soundtrack is good and after the episode 19 I'm could force me stop watching, the plot is so entertaining that when i finished the last episode my spirit was elevated to the maximum.While I don't know much of other animes this one is really impressive I definitely recommend."
"66",NA,"miguelpassador","Jul 3, 2022",10,"This series teaches a class on how to count a story",NA,"Fullmetal Alchemist Brotherhood is a masterpiece, it's one of the best series of all time and definitely the best animation I ever watched.Great action, voice acting and amazing animation. And the philosophy about this show is very powerful.Overall:9,4/10."
"67",NA,"cadillac20","Dec 6, 2009",9,"Just might be the perfect mainstream series",NA,"Fullmetal Alchemist is, in a way, unique. It is very much a mainstream series, with the appeal of a huge cast of unique characters, action that commonly involves special powers, a fairly straight forward story with some mostly obvious symbolism, and a mix of comedy, action, drama, and even some romance. These are all common staples of long running anime series that lean towards a more commercial and public appeal. And yet, for a mainstream series, it manages to continually surprise with a very mature and serious tone. There is a great deal of tragedy and some moments are even frightening and memorable. Few series achieve such a perfect balance of mainstream entertainment and gut wrenching drama and tragedy.Such was what I discovered when I first laid my eyes on the original FMA series. And yet, for all it's greatness, it began to flounder in it's second season. As many series do, it took on its own form and story, and it was at that point that it started to lose its charm. So, Bones did the smart thing. They remade it. For most series, this would be pointless, but for FMA, it's very much welcome. Five years after the original series ended and the manga has had time to grow, this new FMA is better looking, paced better, and follows the manga, expanding the plot in a better direction.It's hard not to like anything about this new FMA. The action is fantastic and looks great, as it always did. We aren't subjected to single shots or poorly edited sequences. All the action is displayed and wonderfully animated. Likewise, all the charm is here as well, from the more serious scenes that fans will remember to the humor which is consistent and still funny. Bones took everything good about the original series and threw out all the bad, replacing those particulars with higher quality details. In a sense, it even feels like a new anime, and by episode 13, it has gone in a completely new direction.A better developed story and characters, superior animation, and fantastic details. These are what make the new FMA an instant new-age classic. Like FMA was the first time around, the new FMA will be one of the top anime to watch out for in the states."
"68",NA,"fernandemig","Oct 16, 2022",10,"I can't believe that took me so long to watch this",NA,"""Shounen"" is usually described as being an uninspired genre made for kids, with sub-par watered-down thematic execution and repetitive plot elements.Fullmetal Alchemist Brotherhood kills all these notions, it was the grandness a shounen has,but also has the thematic and philosophical crux, which the traditional ""edgy series"" have. The characters grow and develop, the cast is amazing and also is one of the rare Shounens anime that have indeed good female characters, story started simple but grows in a amazing and addictive way. Is smart without being overly dumb, it's a TRUE package that anyone cam enjoy."
"69",NA,"ICtolic18","Aug 17, 2022",10,"Truly one of the best Anime series that I've ever watched",NA,"I've seen this show recommended by many sources. Finally I decided to watch it.At first I was kinda disappointed. The first few episodes didn't make a huge impression on me. But as the story progressed and I got to know more and more fantastically written characters, the backstory started to unfold and alchemy expanded, it just got better and better.At a point I suddenly found myself addicted to the show. When one episode finished, I immediately started playing the next. The story deals with morally heavy themes. There is some seriously dark stuff in there. But there is also light. Once you experience terrible things in this show, it is truly cathartic to see some hearthwarmingly good things unfold as well.This show will make you feel very deep feelings. I have to admit to be crying at some points. It is a true roller-coaster.You will get so attached to the characters that after the series is over you will seriously miss them. That is a quality of a great show.The scope of the story is bigger than anything I have ever seen before (no joking, the stakes are bigger than in any other fantasy / sci-fi). You will find yourself truly rooting for the good guys, worrying about them, and cheering when they seem to succeed in combat against a foe.If you want to be amazed, addicted, emotionally lifted, press the start button on this show."
"70",NA,"ahsanejaz756","Oct 19, 2022",10,"It's better than the OG one? yes but some flaws too still 8/10",NA,"It's waring on my patience, the more character's that get introduced, the pointless conversations, -completely- pointless sub-plots. It feels like a lot of this show is either localized in an incredibly contrived way, or there's quite a lot of filler.Still, I really enjoyed the first 2 seasons (or Parts as Netflix is calling them) and due to the love this series has gotten I'll keep trying to watch. Not a -true- anime fan - I like Bebop, NG:E, Akira, took the chance on this and loved the charm and bounciness of the the plot of this show. I'll edit this if my opinon changes in some major way."
"71",NA,"bandoolero","Oct 7, 2013",10,"I feel like my spirit is elevated after having just finished the last episode.",NA,"I have seen the entirety of the Full Metal Alchemist series that was produced in 2004. The series has a sizable cast which are unique and interesting in their own way. They all have specific characteristics which make them stand out from each other and sometimes oppose each other with their philosophies. This series does things that may others attempt to do. They manage to develop the characters and their story lines in a very beautiful manner. This series has one of the best plots that I have ever witnessed with just the right amount of action, humour and tragedy all excellently blended together to create a plot that keeps you wanting more from start to finish."
"72",NA,"therskybznuiss","Apr 28, 2021",7,"Losing my interest about halfway through, but -did- enjoy it.",NA,"Full Metal Alchemist: Brotherhood, I think is the best anime ever made.First of all the the voice cast were chosen to perfection every voice portrays the character as who the were meant to be.Secondly The Storyline was so well written compared to the first series. story flows wonderfully as we witness the journey the characters take and the many twists and turns that occur.Characterization was also excellent. once again I will mention the voices but also the way characters interact with the complex guidelines of the world they inhabit.And lastly the animation is very fluid no cheap faraway shots where the characters are talking but not moving which is used commonly(see Neon Genesis Evangalion).I will finish by saying that if you are going to watch one anime in the entirety of your life time Choose Full Metal Alchemist Brotherhood."
"73",NA,"TripHawkin","Oct 12, 2022",10,"Fantastic.",NA,"Ill explain why this is the best series ever made and why i feel worthy of judging that.*Note that English isn't my native tongue* I've been addicted to series for like... forever. I could probably list at least 50 full series I've seen from all kinds.If i told myself 10 years ago or so that the best series i would ever see was an Anime i wouldn't have believed it.This series made me laugh out loud, cry and bring up pretty much every part of human emotion possible. The characters and story are pretty much flawless and there is little to none loose ends. There isn't a ""stormy"" story curve as many series suffer from - where the intro - mid part or ending is to short , to long or rushed. The pace through the entire anime is good.The series does not suffer either from things like to slow riddles-to-answers rate (Lost *cough*) or to fast story.All characters are developed in a brilliant way through the series.Of all movies and shows I've seen in my lifetime - if i would have to recommend one single series to someone it would be this one without hesitation.If i had an enemy i hated in real life more than anything - even i wouldn't be so cruel as to deny that person to see this show. I could deny them food instead and it would be merciful. Thats how good this show is.One thing that was a major concern early on was that this show would be to childish and silly. Don't be deceived, it is very mature and some elements are even horrifying.This is one of the only shows I've ever seen, where i haven't been able to personally come up with better ideas on how to make it.Perfection.See it.I also recommend original Japanese voices with English text for best experience."
"74",NA,"ppochlon03","Jul 19, 2011",10,"The Best Anime Ever",NA,"Having been an avid fan of the first Fullmetal Alchemist series, i was highly apprehensive on hearing about this reboot, but the more i found out about the series, the more excited i became. I've always been a fan of the Manga, and the new series is being based completely of the manga storyline. This had be hooked, so i waited nervously for the first episode.The new series features better artwork that resembles Arakawa's style more closely than the last series. There is more humour, especially Ed transmuting a spear-head into his face. There is a new soundtrack, which admittedly, at times doesn't work greatly, but with some getting used too, i'm sure it will grow on me. Overall, i feel this series is a fantastic reboot, and is verging on turning Fullmetal Alchemist into the series it should always have been."
"75",NA,"Kentvaroy","Sep 16, 2010",8,"Pretty much the best show made in the history of mankind",NA,"I have seen both versions of Fullmetal Alchemist (Brotherhood) and both are good. In the first version (Fullmetal Alchemist), the first half of the series is really good. The fight between Edward Elric & Roy Mustang and the State Alchemist test taken by Edward Elric are notable ones. In second half, the story takes lots of twists and turns and I find it's not as impressive as the first half.The second version (Fullmetal Alchemist Brotherhood) is sticking to manga and has the soul of the original story. It is an all-rounded anime with tightly knit fantastic story, humorous, action packed, dark at times and entertaining. In first half, character introduction, funny moments, action sequence, ends with almost no hope situation for our heroes. In second half, the story takes it's fast pace with more action and nail biting moments.The decisions/resolutions taken by the Elric brothers at each step of their journey are clearly justified. All characters had their importance in the series, even the cute little panda and Yogi had their importance in moving the story forward. Usually when a character is introduced in the middle of a series, it stay far too superior/inferior to rest of the characters. But I like the way Olivier Mira Armstrong and Lin Yao gang introduced in the series.Sometimes when I think of watching something, I start with any one particular scene in this series and ended up watching till the very end of the series. I don't remember how many times I watched it.I have seen many anime in all genre (comedy, drama, action, adventure, thriller, slice of life, bloody ones, etc.) and in my opinion, Fullmetal Alchemist Brotherhood is the best in overall. So I give 10 out of 10.When people asks me to suggest something to watch, I recommend this series without blinking. Either they say Animation is for kids or series are lengthy to watch without knowing how Japanese anime differs from Western animation. I would say one thing, watch at least couple of episodes and then you will understand why I recommend this series.Suggestion: The first episode is more of an quick introduction of main casts. The actual story starts in episode 2. So it is OK to skip episode 1. Japanese audio is better than English audio.Other suggested Animes: Cowboy Bebop, Death Note, Code Geass, Steins Gate, Hunter X Hunter, Attack on Titans, Samurai Champloo, Great Teacher Onizuka, Parasyte, One Punch Man (season 1), Boku no Hero Academia, Ghost in the shell (both movies & series, have complex plot), Shigurui (only adults, watch only if you are OK with violence & sex)"
"76",NA,"garethwatkin","Apr 13, 2009",9,"A Fantastic Reboot",NA,"First let me say that the music/OSTs in this anime are just magnificent, there is not even one single bad opening! Every opening them is just so perfect that you can't stop listening to it! The background music is so goated! My favorite op is the 5th op ""Rain"" by SID and it's actually my all time favorite anime op, the greatest opening ever. But other than that the ""Fullmetal Alchemist: Brotherhood"" story about two brothers and their journey to try to get their bodies back is a perfect storytelling, with a great writing to every character and a really good characters design and a nice world building plus a fine animation. Something that I really like about this anime is that how they show you all this things about the military and how you can't trust people no matter who they are and all this thing with the dogs of the military etc... I also like the philosophy in this anime but I don't want to say too much here, so if you really wanna know what I'm talking about search on YouTube ""The Philosophy of Fullmetal Alchemist: Brotherhood"" there is a video there by ""Wisecrack"", I recommend you to watch it if you've already finished the anime."
"77",NA,"spookycostume","Aug 19, 2011",10,"Equivalent Exchange - Give time to  watch = Pleasure out of it",NA,"I've always been a fan of anime that blend intricate storytelling with well-developed characters, and ""Fullmetal Alchemist: Brotherhood"" didn't disappoint. This series, adapted from the manga by Hiromu Arakawa, is often hailed as a masterpiece, and while I found it compelling, I had my reservations.The story revolves around two brothers, Edward and Alphonse Elric, who use alchemy to try and bring their mother back from the dead but pay a terrible price. Edward loses his arm and leg while Alphonse's entire body is taken, leaving his soul bound to a suit of armor. The brothers embark on a journey to find the Philosopher's Stone, a legendary artifact that can restore their bodies.The narrative is the strongest aspect of ""Fullmetal Alchemist: Brotherhood."" The plot is intricate, filled with political intrigue, moral dilemmas, and complex character relationships. It doesn't shy away from exploring the consequences of seeking power and the toll it takes on individuals and society. The themes of sacrifice, redemption, and the value of human life are woven into the story's fabric.The character development is impressive, especially for the Elric brothers. Edward's determination and resilience are inspiring, and his unwavering commitment to protecting his loved ones makes him a compelling protagonist. Alphonse's struggle with identity and the meaning of existence adds depth to his character. The supporting cast is diverse, each with their own motivations and arcs, though some side characters could have been more fleshed out.The animation quality by Studio Bones is consistent throughout the series, with fluid action sequences and detailed character designs. The alchemical battles are a visual spectacle, showcasing the versatility of alchemy in combat.However, ""Fullmetal Alchemist: Brotherhood"" has its flaws. The pacing, particularly in the earlier episodes, can be slow, and the series assumes viewers have seen the 2003 adaptation or read the manga, resulting in some rushed character introductions and world-building. The humor, while occasionally amusing, can feel out of place in the midst of the story's darker themes.The climax and resolution of the series, while emotionally satisfying, left me wanting more closure for certain characters and plotlines. Some questions remained unanswered, which was a bit frustrating.In conclusion, ""Fullmetal Alchemist: Brotherhood"" is a memorable and thought-provoking anime that explores complex themes and boasts well-rounded characters. While it has its share of pacing issues and unanswered questions, its strengths far outweigh its weaknesses. I rate it 7/10 because it offers a captivating journey through a richly crafted world of alchemy, ethics, and the enduring bonds of brotherhood."
"78",NA,"withlovshankar","Nov 7, 2011",10,"Best of all Anime and better than the earlier version",NA,"I can't believe this show has such a high reviews. This is the definition of overhype and hyped up just because others like it and I can't believe people compare this with shows such as Avatar the Last Airbender or Attack on Titan. At the beginning I was excited for the journey and the world building. The concept of alchemy and the story of the brothers seemed promising. As the show progressed I honestly just couldn't care less for any character. It feels like the protagonists just like to fight just because. The story could have been told in a lot less episodes. The music was mediocre in my opinion first opening was fairly good but nothing memorable. Humor was funny but really overused!!I'll try watching the 2003 version. Overall I do not recommend this show. Watch ATLA, AOT, Death Note, Hunter x Hunter or Code Geass instead.Peace:)"
"79",NA,"tmilom99","Sep 14, 2010",10,"Such a Great Amime, it is a must watch series",NA,"**English is not my first language**After more than a decade, this story is still one of my loved one sagas of all times. The world building, the drama, the - so human - themes and the characters (all characters!) are the strength core of it. Plus, we have a very good animation, a impressive tied plot and pace, gorgeous music and the ten last episodes that takes your breath away.It has a world with its own laws and unique landscape and lore, that could be expanded on and on.Fullmetal is one of my loved one stories of all time, side by side with the worlds of Middle Earth, Westeros, Hogwarts and the whole Star Wars drama."
"80",NA,"Leysritt","Sep 22, 2022",10,"A Well Made Story.",NA,NA
